[2024-01-27 16:11:25,713: INFO: main: Weelcome to our custom log]
[2024-01-27 16:29:40,679: INFO: main: Weelcome to our custom log]
[2024-01-27 18:36:56,557: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-01-27 18:36:56,593: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-27 18:48:46,517: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-01-27 18:48:46,527: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-27 18:48:46,531: INFO: common: created directory at: artifacts]
[2024-01-27 18:48:46,532: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-27 18:48:46,533: INFO: 2553077880: Downloading data from https://drive.google.com/file/d/1btXhfBBPqzxEofcTItVOBRTDqpz1Byo7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-27 18:49:12,343: INFO: 2553077880: Downloaded data from https://drive.google.com/file/d/1btXhfBBPqzxEofcTItVOBRTDqpz1Byo7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-27 19:15:21,725: INFO: main: >>>>> stage Data Ingestion Stage started <<<<<]
[2024-01-27 19:15:21,726: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-01-27 19:15:21,727: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-27 19:15:21,728: INFO: common: created directory at: artifacts]
[2024-01-27 19:15:21,728: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-27 19:15:21,728: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1btXhfBBPqzxEofcTItVOBRTDqpz1Byo7/view?usp=sharing                         into file artifacts/data_ingestion/data.zip]
[2024-01-27 19:15:47,590: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1btXhfBBPqzxEofcTItVOBRTDqpz1Byo7/view?usp=sharing                         into file artifacts/data_ingestion/data.zip]
[2024-01-27 19:15:55,897: INFO: main: >>>>>>>>> stage Data Ingestion Stage                 completed <<<<<<<<

x==============X]
